contribution_date,amount,contributor_name,sector_category,alignment,candidate_name,office
2025-06-24,5000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,neutral,Kathleen C. Hochul,governor
2021-10-06,5000.0,Coalition for Quality Long Term Care Inc,industry_association,neutral,Kathleen C. Hochul,governor
2022-03-06,5000.0,Coalition for Quality Long Term Care Inc,industry_association,neutral,Kathleen C. Hochul,governor
2024-03-27,5000.0,NY Assn. of Nurse Anesthetists,industry_association,neutral,Kathleen C. Hochul,governor
2024-06-20,5000.0,Upstate Health Advocacy Project (UHAP),industry_association,neutral,Kathleen C. Hochul,governor
2023-12-07,5000.0,Rhythm Pharmaceuticals,pharma,neutral,Kathleen C. Hochul,governor
2021-11-29,5000.0,Upstate Health Advocacy Project (UHAP),industry_association,neutral,Kathleen C. Hochul,governor
2026-03-06,5000.0,Montefiore Health System,hospital_health_system_provider,neutral,Gustavo Rivera,state_senate
2025-06-16,5000.0,New York State Assoc. of Healthcare Providers (NYSHCP),industry_association,neutral,Kathleen C. Hochul,governor
2025-11-05,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2021-10-28,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-04-18,5000.0,The Doctors Company New York (DocPac),other_healthcare_related,neutral,Kathleen C. Hochul,governor
2022-11-01,5000.0,TriADD PAC,industry_association,neutral,Kathleen C. Hochul,governor
2026-02-01,5000.0,Clove Lake Health Care and Rehabilitation,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2024-11-04,5000.0,Montefiore Health System,hospital_health_system_provider,neutral,Jamaal T. Bailey,state_senate
2021-10-28,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2025-09-09,5000.0,American Assoc. of Orthopedic Surgeons,industry_association,neutral,Kathleen C. Hochul,governor
2021-09-30,5000.0,"KPH Healthcare Services, Inc",hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2021-10-28,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-10-03,5000.0,United Biotech Corp,other_healthcare_related,neutral,Lee Michael Zeldin,governor
2022-02-22,5000.0,Mobile Health Management Services Inc,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2025-11-05,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2023-11-30,5000.0,Eagle Home Care,post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2024-10-23,5000.0,Theodore F Mayer DDS PA,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2024-12-13,5000.0,Montefiore Health System,hospital_health_system_provider,neutral,Jamaal T. Bailey,state_senate
2022-09-12,5000.0,Deptford Center for Rehabilitation & Hea,post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2022-03-01,5000.0,American Assoc. of Orthopedic Surgeons,industry_association,neutral,Kathleen C. Hochul,governor
2024-10-23,5000.0,S K Pesis DDS,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
